Time (s), Velocity (mm/s)
0.020439,0.4182151,
0.040761,105.4963,
0.060502,217.196,
0.080244,193.9447,
0.100567,143.1524,
0.120311,155.1322,
0.140636,173.2726,
0.160381,162.864,
0.180708,158.1977,
0.200455,162.8558,
0.220783,165.7227,
0.240532,162.8392,
0.260283,155.0771,
0.280615,165.6901,
0.300369,170.5416,
0.320701,158.1588,
0.340454,162.7897,
0.36079,165.6657,
0.380548,162.7568,
0.400306,155.0221,
0.420645,165.6168,
0.440403,170.5157,
0.460786,165.2753,
0.480547,154.9907,
0.500311,162.7238,
0.520656,173.1107,
0.54042,154.9593,
0.560766,158.0576,
0.580533,170.4294,
0.600302,162.6826,
0.62065,165.5435,
0.640421,162.6579,
0.660773,165.5272,
0.6805449,154.9044,
0.700318,162.6414,
0.720672,165.5191,
0.740448,162.6168,
0.760805,165.4865,
0.780584,170.3259,
0.800362,162.6003,
0.820721,157.9489,
0.840499,170.3345,
0.860282,162.5674,
0.880645,157.9178,
0.900428,162.5509,
0.920791,165.4458,
0.940579,162.5181,
0.960365,162.5345,
0.980733,165.3971,
1.000523,162.5016,
